,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
5765,50308,4,SUB,39121,50308_4,39121,40.4585821989,77.01326611545,163.25392817099998,2.5925433593242504,3903.89828235,2079.7130849610003,107.53465268654999,670181851.0
5766,50308,5,SUB,37295,50308_5,37295,38.5701496155,73.41861812775,155.633937045,2.47153458720375,3721.68110325,1982.6410240950001,102.51539766225,638900645.0
5767,50308,6,SUB,59682,50308_6,59682,61.7225812938,117.4894749189,249.05602978199997,3.9551180381685005,5955.6876687,3172.757248962,164.0521239651,1022412342.0
5768,50308,7,SUB,36654,50308_7,36654,37.9072332486,72.15675100829999,152.959011354,2.4290556042195,3657.7154889000003,1948.564796814,100.7534357397,627919674.0
5769,50308,8,SUB,55648,50308_8,55648,57.550655203199995,109.5481770096,232.221942048,3.687785405784,5553.1333968,2958.3056095680004,152.96358356640002,953305888.0
5779,50366,BLR1,BIT,0,50366_BLR1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5782,50366,BLR2,BIT,2734,50366_BLR2,2734,6.795867984600001,30.755022996,16.506022422450002,0.32739218028000006,1085.106658125,70.438923636,32.24316927,69033500.0
5785,50366,BLR3,BIT,892,50366_BLR3,892,2.2172327148000006,10.034191848,5.3852860281,0.10681559064,354.02894625,22.981536168,10.51971726,22523000.0
5788,50366,BLR4,BIT,3245,50366_BLR4,3245,8.0660539905,36.50331003,19.591090987875003,0.38858362290000004,1287.9192046875,83.60435523,38.269599225,81936250.0
5791,50366,BLR5,BIT,0,50366_BLR5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5794,50366,BLR6,BIT,0,50366_BLR6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5811,50392,1,SUB,26725,50392_1,26725,27.638751802499996,52.610606501250004,111.524787975,1.7710621220812501,2666.89710375,1420.728820725,73.46089294875,457825975.0
